"","x","prob"
"1",0.00856247619047619,0.0108619606568323
"2",0.0110508100226081,2.48884944215466e-06
"3",0.0142622764068655,3.31147611636846e-06
"4",0.0184070242714954,1.0466836641787e-05
"5",0.023756273743813,0.0153180267545489
"6",0.0306600639987707,0.0191688137787051
"7",0.039570158794518,0.000168883561390563
"8",0.0510696085659231,0.142108624107291
"9",0.065910903532637,0.00747578104584203
"10",0.085065214449036,0.000405360074995911
"11",0.109785943166102,0.00116746823216809
"12",0.141690741567361,0.306339767797412
"13",0.182867365957171,0.0247707744014914
"14",0.236010293701625,0.0436094869187915
"15",0.304597041913825,0.000747277215089624
"16",0.393115725960447,0.176176389276235
"17",0.50735874854993,0.0254475808265979
"18",0.654801837553686,0.000294870828270301
"19",0.845093235682103,0.101546318070627
"20",1.09068505315105,0.00964589012865632
"21",1.40764809720308,8.08575888000632e-05
"22",1.81672349853413,7.09580928104268e-05
"23",2.34467994997043,0.0437340028525599
"24",3.02606537110856,0.000224337669128482
"25",3.90546762270812,5.64675267077936e-05
"26",5.04043220534716,0.0300971310490556
"27",6.50522786797138,0.0135082320216609
"28",8.39570653670103,1.39829848852205e-05
"29",10.8355755833632,7.29852947869462e-06
"30",13.9844928725809,1.00016394477818e-05
"31",18.0485143035258,0.00788600792017587
"32",23.2935775027828,0.0114606440798054
"33",30.062904001586,5.84970030062241e-06
"34",38.7994586447962,2.98698923475059e-06
"35",50.0749359093796,4.16929550539983e-06
"36",64.6271699119384,0.0017716507848796
"37",83.4084161063144,0.00255450938747091
"38",107.647664083755,4.82298755056663e-06
"39",138.931059042274,4.18843774787376e-06
"40",179.305694469971,7.43411981052039e-06
"41",231.413567930665,6.3514407371068e-05
"42",298.66446562504,0.00136406635854038
"43",385.45908878522,1.45040290171834e-06
"44",497.47702263873,3.84508473657266e-07
"45",642.048391785087,2.36677809129527e-07
"46",828.63352202133,2.72702078699303e-07
"47",1069.44199627761,4.58855360916236e-06
"48",1380.23161386513,0.000374014240284314
"49",1781.33953458306,3.40389208260483e-07
"50",2299.01308272646,1.03271916711197e-07
"51",2967.12729490088,5.68676950401601e-08
"52",3829.40160292829,4.31551006445451e-08
"53",4942.26070506342,4.39338252707845e-08
"54",6378.52683253064,6.56651838066382e-08
"55",8232.18502245953,1.87168771902493e-07
"56",10624.5332226847,0.000130522882259907
"57",13712.1196732048,3.43049067937129e-07
"58",17696.9869632335,1.39673514674015e-07
"59",22839.8931048461,1.1786561018055e-07
"60",29477.3747714556,2.7106331123902e-07
"61",38043.7692693264,0.000119034617522076
"62",49099.6362952669,1.53818903225747e-05
"63",63368.4393168485,2.11299902161039e-07
"64",81783.8868969421,9.80768850365065e-08
"65",105551.031839811,8.39126336318599e-08
"66",136225.126307434,9.56585505526798e-08
"67",175813.392953275,2.74333464172421e-05
"68",226906.3716776,0.000194918577589161
"69",292847.436950247,0.000175410916705498
"70",377951.578416584,0.000751000254964778
"71",487787.761146963,1.18206834141309e-07
"72",629543.342355111,8.86928605752753e-08
"73",812494.390945241,5.5969603708002e-08
"74",1048612.68621773,4.11340346656536e-08
"75",1353349.11594592,3.42336149228782e-08
"76",1746644.73709342,3.12779462218441e-08
"77",2254235.66001581,3.0613533312847e-08
"78",2909337.1439364,3.11023448088475e-08
"79",3754817.10595804,3.15838064220424e-08
"80",4846001.27165714,3.13032339725079e-08
